"lnm_rate","treated","state","year"
-10.3577766418457,1,"Kentucky",1930
-6.93433856964111,0,"Kentucky",1930
-10.3786954879761,1,"Kentucky",1931
-6.94825553894043,0,"Kentucky",1931
-10.4503307342529,1,"Kentucky",1932
-7.06264400482178,0,"Kentucky",1932
-10.5123224258423,1,"Kentucky",1933
-7.05561685562134,0,"Kentucky",1933
-10.4938650131226,1,"Kentucky",1934
-7.16547727584839,0,"Kentucky",1934
-10.5157871246338,1,"Kentucky",1935
-7.22748565673828,0,"Kentucky",1935
-11.0216159820557,1,"Kentucky",1936
-7.19490909576416,0,"Kentucky",1936
-10.9448146820068,1,"Kentucky",1937
-7.14909648895264,0,"Kentucky",1937
-11.2340049743652,1,"Kentucky",1938
-7.22863912582397,0,"Kentucky",1938
-11.4191541671753,1,"Kentucky",1939
-7.25474262237549,0,"Kentucky",1939
-11.4939985275269,1,"Kentucky",1940
-7.26993703842163,0,"Kentucky",1940
-11.399037361145,1,"Kentucky",1941
-7.29021453857422,0,"Kentucky",1941
-11.610143661499,1,"Kentucky",1942
-7.3507194519043,0,"Kentucky",1942
-12.2326383590698,1,"Kentucky",1943
-7.38508224487305,0,"Kentucky",1943
-12.1160821914673,1,"Louisiana",1927
-6.96489477157593,0,"Louisiana",1927
-12.1310434341431,1,"Louisiana",1928
-7.03284168243408,0,"Louisiana",1928
-11.9787302017212,1,"Louisiana",1929
-7.04425621032715,0,"Louisiana",1929
-11.9932565689087,1,"Louisiana",1930
-7.07665061950684,0,"Louisiana",1930
-11.798023223877,1,"Louisiana",1931
-7.09697484970093,0,"Louisiana",1931
-12.5034246444702,1,"Louisiana",1932
-7.20698404312134,0,"Louisiana",1932
-12.1100654602051,1,"Louisiana",1933
-7.22159719467163,0,"Louisiana",1933
-12.1220254898071,1,"Louisiana",1934
-7.27849531173706,0,"Louisiana",1934
-12.4215278625488,1,"Louisiana",1935
-7.2863826751709,0,"Louisiana",1935
-13.0209951400757,1,"Louisiana",1936
-7.28120231628418,0,"Louisiana",1936
-12.0029220581055,1,"Louisiana",1937
-7.32145261764526,0,"Louisiana",1937
-12.7074842453003,1,"Louisiana",1938
-7.39427852630615,0,"Louisiana",1938
-13.0552425384521,1,"Louisiana",1939
-7.43339347839355,0,"Louisiana",1939
-14.6758403778076,1,"Louisiana",1940
-7.44094181060791,0,"Louisiana",1940
-13.3029737472534,1,"Louisiana",1941
-7.52532196044922,0,"Louisiana",1941
-14.0093717575073,1,"Louisiana",1942
