id,time,earnings,age,agesq,school,ethblack,urban,regne,regnc,regw,regs,asvabc
1609,0,6.093205452,23,529,9,0,0,0,0,0,1,52
1622,0,24.75365067,21,441,12,0,1,0,0,1,0,56.25
1628,0,7.426095009,20,400,12,0,1,0,0,1,0,54.75
1629,0,8.587611198,18,324,12,0,1,0,0,1,0,52.25
1638,0,7.749796867,20,400,12,0,1,0,0,1,0,58.75
1654,0,9.520633698,21,441,11,0,1,0,0,1,0,54.5
1656,0,9.063640594,21,441,12,0,1,0,0,1,0,54.25
1657,0,7.140475273,19,361,12,0,1,0,0,1,0,60.5
1660,0,12.37682533,23,529,11,0,1,0,0,1,0,42
1680,0,8.911314011,18,324,12,0,1,0,0,1,0,45
1685,0,6.797730923,21,441,12,1,1,0,0,1,0,39.75
1706,0,8.092538834,19,361,12,0,1,0,0,1,0,45.25
1725,0,7.845001221,18,324,11,0,1,0,0,1,0,37
1730,0,7.140475273,22,484,12,0,0,0,0,1,0,57.5
1738,0,18.08920288,21,441,14,0,1,0,0,1,0,52.5
1753,0,17.13714027,22,484,12,1,1,0,0,1,0,36.75
1781,0,9.520633698,21,441,12,0,1,0,0,1,0,55.25
1783,0,7.616507053,20,400,12,0,1,0,0,1,0,33.5
1790,0,5.997998238,18,324,12,0,1,0,0,1,0,56.25
1800,0,7.616507053,20,400,12,0,1,0,0,1,0,62.25
1809,0,11.42476082,19,361,12,0,1,0,0,1,0,51
1826,0,7.730755806,19,361,12,0,1,0,0,1,0,52.75
1830,0,7.140475273,18,324,11,1,1,0,0,1,0,38.25
1842,0,7.730755806,18,324,12,0,1,0,0,1,0,54.5
1843,0,19.21263885,22,484,16,0,1,0,0,1,0,62.75
1856,0,5.902792454,17,289,12,0,1,0,0,1,0,58.25
1859,0,9.482548714,21,441,12,0,1,1,0,0,0,52.5
1865,0,8.720899582,19,361,12,0,1,1,0,0,0,45.5
1871,0,7.197597504,21,441,12,0,1,1,0,0,0,56.5
1872,0,9.939540863,20,400,8,0,1,1,0,0,0,42.75
1885,0,7.616507053,20,400,12,0,1,1,0,0,0,52.75
1891,0,6.03608036,19,361,12,0,1,1,0,0,0,53.75
1895,0,10.56790447,20,400,14,0,1,1,0,0,0,58.75
1899,0,8.663776398,21,441,12,0,1,1,0,0,0,45
1900,0,11.76750088,22,484,15,0,1,1,0,0,0,62.25
1903,0,9.996664047,21,441,12,0,1,1,0,0,0,44
1908,0,9.882418633,20,400,12,0,0,1,0,0,0,55.5
1914,0,5.198265553,22,484,16,0,0,0,0,1,0,61.25
1921,0,7.521299362,21,441,12,0,0,1,0,0,0,32.5
1925,0,6.664442062,18,324,12,0,0,1,0,0,0,57
1926,0,6.740609169,22,484,12,0,0,1,0,0,0,47.75
1929,0,5.997998238,22,484,14,0,0,1,0,0,0,63
1933,0,6.664442062,19,361,12,0,0,1,0,0,0,52.75
1941,0,6.569237232,21,441,12,0,1,0,0,1,0,58
1942,0,4.379491329,19,361,13,0,0,1,0,0,0,56
1958,0,9.520633698,20,400,12,0,0,1,0,0,0,56.75
1961,0,7.578424454,22,484,12,0,0,1,0,0,0,53.5
1962,0,6.264576435,21,441,12,0,0,1,0,0,0,38.25
